can_id,can_nam,can_off,can_off_sta,can_off_dis,can_par_aff,can_inc_cha_ope_sea,can_cit,can_sta,can_zip,cov_sta_dat,cov_end_dat,ind_con,net_ope_exp,tot_con,tot_dis,net_con,ope_exp,tot_rec,winner
H4MN06087,"EMMER, THOMAS EARL JR.",H,MN,6.0,REP,INCUMBENT,ANOKA,MN,553030998.0,1/1/2015,10/19/2016,891807.39,1178785.31,1649587.39,1375703.31,1635187.39,1178800.31,1775297.95,Y
H8MA05143,"TSONGAS, NICOLA S",H,MA,3.0,DEM,INCUMBENT,LOWELL,MA,1853.0,1/1/2015,10/19/2016,744827.83,825206.83,1113152.63,1065199.84,1103038.83,825216.5,1156213.3,Y
H2KY04121,"MASSIE, THOMAS H.",H,KY,4.0,REP,INCUMBENT,NEWPORT,KY,410721072.0,1/1/2015,10/19/2016,285385.34,247444.68,387273.34,319674.75,381058.46,250009.87,442838.53,Y
H6DE00206,"ROCHESTER, LISA BLUNT",H,DE,0.0,DEM,OPEN,WILMINGTON,DE,19809.0,10/1/2015,10/19/2016,675348.35,1102656.32,908738.58,1163965.1,908041.8,1102668.32,1373250.58,Y
H8OH11141,"FUDGE, MARCIA L",H,OH,11.0,DEM,INCUMBENT,WARRENSVILLE HEIGH,OH,44122.0,1/1/2015,10/19/2016,69180.13,568070.9,669881.3,577891.45,660461.35,568471.5,670500.47,Y
H0ND01026,"CRAMER, KEVIN MR.",H,ND,0.0,REP,INCUMBENT,BISMARCK,ND,58502.0,1/1/2015,10/19/2016,499904.42,727918.42,1310404.42,737618.58,1308804.42,729518.58,1312304.58,Y
H4NC12100,"ADAMS, ALMA SHEALEY",H,NC,12.0,DEM,INCUMBENT,CHARLOTTE,NC,28202.0,1/1/2015,10/19/2016,292831.88,778075.76,891822.41,799615.54,889712.41,780095.54,893842.21,Y
H4IL07037,"DAVIS, DANNY K. MR.",H,IL,7.0,DEM,INCUMBENT,CHICAGO,IL,60644.0,1/1/2015,10/19/2016,52587.8,376136.26,505107.32,498709.8,505107.32,376136.26,505137.99,Y
H0MO01066,"CLAY, WILLIAM LACY JR",H,MO,1.0,DEM,INCUMBENT,SAINT LOUIS,MO,63112.0,1/1/2015,10/19/2016,65936.34,605274.68,599196.84,654633.68,599196.84,609317.83,603239.99,Y
H6FL02208,"DUNN, NEAL PATRICK MD, FACS",H,FL,2.0,REP,OPEN,TALLAHASSEE,FL,32308.0,7/1/2015,10/19/2016,1007649.36,1743643.09,1299519.52,1810067.89,1297719.52,1743649.09,1894525.52,Y
H6FL13148,"BUCHANAN, VERNON",H,FL,16.0,REP,INCUMBENT,SARASOTA,FL,34230.0,1/1/2015,10/19/2016,873814.46,681924.36,1535329.56,698021.47,1521929.56,682621.47,1546925.36,Y
H8WI01024,"RYAN, PAUL D.",H,WI,1.0,REP,INCUMBENT,JANESVILLE,WI,535470771.0,1/1/2015,10/19/2016,5773096.85,6895091.26,7258338.55,12122208.82,7228663.55,6897340.51,18974669.72,Y
H4MO08162,"SMITH, JASON T",H,MO,8.0,UNK,INCUMBENT,CAPE GIRARDEAU,MO,637021324.0,1/1/2015,10/19/2016,514271.73,965644.5,1558425.92,1165519.33,1557425.92,967830.01,1591115.9,Y
H2IL02172,"KELLY, ROBIN L.",H,IL,2.0,DEM,INCUMBENT,MATTESON,IL,60443.0,1/1/2015,10/19/2016,393797.35,595887.94,1035975.2,780256.31,1028625.19,596228.04,1036713.27,Y
H8MD01094,"HARRIS, ANDREW P",H,MD,1.0,REP,INCUMBENT,STEVENSVILLE,MD,21666.0,1/1/2015,10/19/2016,743798.47,500548.29,1187269.96,665583.99,1184269.96,500548.29,1188439.52,Y
H2NC11080,"MEADOWS, MARK R",H,NC,11.0,REP,INCUMBENT,HENDERSONVILLE,NC,287930811.0,1/1/2015,10/19/2016,324588.24,387382.55,580005.32,530763.44,578755.32,390633.64,583256.41,Y
H0MO07113,"LONG, BILLY MR.",H,MO,7.0,REP,INCUMBENT,SPRINGFIELD,MO,658094689.0,1/1/2015,10/19/2016,488963.71,1478549.4,1390368.55,1509758.14,1382968.45,1478549.4,1411105.48,Y
H6WI08155,"GALLAGHER, MICHAEL JOHN",H,WI,8.0,REP,OPEN,GREEN BAY,WI,54301.0,1/1/2016,10/19/2016,1893839.08,1972257.25,2389320.14,1974232.25,2387345.14,1972257.25,2389320.14,Y
H4OK06056,"LUCAS, FRANK D.",H,OK,3.0,REP,INCUMBENT,CHEYENNE,OK,736283628.0,1/1/2015,10/19/2016,293926.55,577101.79,1130318.77,1039346.54,1122818.77,591846.54,1149175.51,Y
H2IA05072,"KING, STEVE MR.",H,IA,4.0,REP,INCUMBENT,KIRON,IA,514488003.0,1/1/2015,10/19/2016,614104.53,820157.76,884854.53,834957.76,881554.53,820157.76,893351.08,Y
H0MO04086,"HARTZLER, VICKY",H,MO,4.0,REP,INCUMBENT,HARRISONVILLE,MO,647016300.0,1/1/2015,10/19/2016,472925.0,382580.58,857875.0,689330.58,857875.0,382580.58,858684.31,Y
H2VA06115,"GOODLATTE, ROBERT W.",H,VA,6.0,REP,INCUMBENT,ROANOKE,VA,240188755.0,1/1/2015,10/19/2016,737717.06,1457022.2,1698027.16,1672854.84,1686327.16,1461594.84,1714851.85,Y
H2MD05155,"HOYER, STENY HAMILTON",H,MD,5.0,DEM,INCUMBENT,WASHINGTON,DC,20005.0,1/1/2015,10/19/2016,952573.37,1481833.31,3287891.58,3515306.63,3281401.58,1489740.14,3550021.94,Y
H8MN03077,"PAULSEN, ERIK",H,MN,3.0,REP,INCUMBENT,EDEN PRAIRIE,MN,55344.0,1/1/2015,10/19/2016,2288208.36,4046303.12,4502389.51,4093995.63,4488239.51,4046745.63,4515213.52,Y
H0WI07051,"DUFFY, SEAN",H,WI,7.0,REP,INCUMBENT,WAUSAU,WI,544020538.0,1/1/2015,10/19/2016,1038561.77,1651672.2,2166109.75,1762530.99,2133409.75,1659570.99,2195735.86,Y
H6CO05159,"LAMBORN, DOUGLAS",H,CO,5.0,REP,INCUMBENT,COLORADO SPRINGS,CO,80962.0,1/1/2015,10/19/2016,138761.14,275363.7,566271.14,310308.95,563671.14,275645.95,566553.39,Y
H8VA01147,"WITTMAN, ROBERT J MR.",H,VA,1.0,REP,INCUMBENT,MONTROSS,VA,22520.0,1/1/2015,10/19/2016,507494.09,818868.46,984074.19,897511.31,978574.19,822786.31,989002.44,Y
H2IN05082,"BROOKS, SUSAN MRS.",H,IN,5.0,REP,INCUMBENT,CARMEL,IN,460328387.0,1/1/2015,10/19/2016,687223.42,810743.59,1519869.46,1084197.12,1512519.46,812094.94,1611309.48,Y
H0OH16097,"RENACCI, JAMES B.",H,OH,16.0,REP,INCUMBENT,WADSWORTH,OH,442818793.0,1/1/2015,10/19/2016,652863.1,1255612.09,1951781.39,1276242.44,1939071.55,1261422.6,1976931.07,Y
H2FL23021,"HASTINGS, ALCEE L",H,FL,20.0,DEM,INCUMBENT,WASHINGTON,DC,20515.0,1/1/2015,10/19/2016,431245.0,571015.99,772606.05,691919.33,766146.35,578134.63,779724.69,Y
H8CA12098,"ESHOO, ANNA G.",H,CA,18.0,DEM,INCUMBENT,SACRAMENTO,CA,95814.0,1/1/2015,10/19/2016,690333.63,846962.2,1283387.57,1140822.38,1282687.57,847982.78,1286712.18,Y
H4NC10047,"MCHENRY, PATRICK TIMOTHY",H,NC,10.0,REP,INCUMBENT,DENVER,NC,280378018.0,1/1/2015,10/19/2016,1043059.4,1322936.51,2666119.38,1999177.42,2650619.38,1326324.32,3031163.18,Y
H6OH08315,"DAVIDSON, WARREN",H,OH,8.0,REP,OPEN,TROY,OH,45373.0,1/1/2015,10/19/2016,488735.45,793305.92,686496.78,798275.07,686496.78,796875.07,940065.93,Y
H2NC13110,"HOLDING, GEORGE E MR.",H,NC,2.0,REP,INCUMBENT,RALEIGH,NC,27608.0,1/1/2015,10/19/2016,1131100.47,2393259.97,2529595.6,2613272.1,2515945.6,2397041.1,2631853.64,Y
H0PA07082,"MEEHAN, PATRICK L. MR.",H,PA,7.0,REP,INCUMBENT,DREXEL HILL,PA,190262501.0,1/1/2015,10/19/2016,815110.52,1510146.88,2298812.53,1793060.38,2294203.21,1522566.06,2322452.27,Y
H2NY14037,"MALONEY, CAROLYN B.",H,NY,12.0,DEM,INCUMBENT,NEW YORK,NY,10128.0,1/1/2015,10/19/2016,825721.8,1450447.49,1545791.8,1451519.61,1544719.68,1450447.49,1545791.8,Y
H6MD04209,"BROWN, ANTHONY GREGORY",H,MD,4.0,DEM,OPEN,BOWIE,MD,20721.0,1/1/2015,10/19/2016,776297.84,1057499.39,1162306.44,1361852.66,1154476.44,1057922.66,1571584.57,Y
H4VA07143,"BRAT, DAVID ALAN MR.",H,VA,7.0,REP,INCUMBENT,GLEN ALLEN,VA,23059.0,1/1/2015,10/19/2016,989341.79,962865.25,1152268.27,978545.48,1143178.27,966205.48,1207908.5,Y
H0PA04220,"ROTHFUS, KEITH MR.",H,PA,12.0,REP,INCUMBENT,SEWICKLEY,PA,15143.0,1/1/2015,10/19/2016,953829.71,1233534.08,1495423.71,1454905.03,1485123.71,1239322.26,1594954.75,Y
H6KY01110,"COMER, JAMES",H,KY,1.0,REP,OPEN,TOMPKINSVILLE,KY,42167.0,10/1/2015,10/19/2016,658686.07,924138.41,964432.08,928011.79,964432.08,926011.79,1066305.46,Y
H4GA11061,"LOUDERMILK, BARRY",H,GA,11.0,REP,INCUMBENT,CASSVILLE,GA,301230447.0,1/1/2015,10/19/2016,330953.85,762685.59,789653.85,808980.55,788553.85,762880.55,790216.07,Y
H2PA04135,"PERRY, SCOTT",H,PA,4.0,REP,INCUMBENT,RED LION,PA,17356.0,1/1/2015,10/19/2016,302944.37,308877.58,642359.74,434705.9,642209.74,308914.9,642524.98,Y
H6OR04047,"DEFAZIO, PETER A",H,OR,4.0,DEM,INCUMBENT,SPRINGFIELD,OR,97477.0,1/1/2015,10/19/2016,584136.86,539606.18,1373128.44,680071.8,1360555.57,542848.93,1376746.79,Y
H8OH15076,"STIVERS, STEVE MR.",H,OH,15.0,REP,INCUMBENT,COLUMBUS,OH,432121947.0,1/1/2015,10/19/2016,953270.9,1471614.16,2733994.14,1907666.91,2720144.14,1473168.4,2774660.69,Y
H2OH02085,"WENSTRUP, BRAD DR.",H,OH,2.0,REP,INCUMBENT,CINCINNATI,OH,452261121.0,1/1/2015,10/19/2016,694530.55,726661.67,1060905.55,786615.57,1050845.71,726805.03,1069832.71,Y
H2NC01081,"JONES, WALTER B.",H,NC,3.0,REP,INCUMBENT,FARMVILLE,NC,27828.0,1/1/2015,10/19/2016,422264.67,642634.18,649464.67,650327.56,649449.67,644632.56,651463.05,Y
H2OH14064,"JOYCE, DAVID P",H,OH,14.0,REP,INCUMBENT,NOVELTY,OH,44072.0,1/1/2015,10/19/2016,954674.03,1846148.87,2020065.84,1857857.07,2019065.84,1846148.87,2020065.84,Y
H6GA04129,"JOHNSON, HENRY C 'HANK'",H,GA,4.0,DEM,INCUMBENT,DECATUR,GA,30034.0,1/1/2015,10/19/2016,56756.69,364509.36,451286.69,408975.32,451187.53,364738.78,451516.11,Y
H4MI04118,"MITCHELL, PAUL III",H,MI,10.0,REP,OPEN,DRYDEN,MI,48428.0,1/1/2015,10/19/2016,150291.44,3713321.25,745418.45,3739795.26,745118.45,3713703.51,3880048.12,Y
H8CA12171,"SPEIER, JACKIE",H,CA,14.0,DEM,INCUMBENT,BURLINGAME,CA,94011.0,1/1/2015,10/19/2016,488989.81,378056.62,823026.64,576794.76,822526.64,378060.25,828328.53,Y
H2FL00292,"DESANTIS, RONALD D.",H,FL,6.0,REP,INCUMBENT,PONTE VEDRA BEACH,FL,32004.0,1/1/2015,10/19/2016,4291857.66,3435710.49,4799868.04,3707018.82,4600666.71,3486267.49,4909124.13,Y
H0MI02094,"HUIZENGA, WILLIAM P THE HON.",H,MI,2.0,REP,INCUMBENT,ZEELAND,MI,494641509.0,1/1/2015,10/19/2016,425975.16,1003061.09,1152933.79,1090489.02,1152933.79,1008949.02,1160046.27,Y
H0VA09055,"GRIFFITH, H MORGAN",H,VA,9.0,REP,INCUMBENT,CHRISTIANSBURG,VA,24068.0,1/1/2015,10/19/2016,271643.25,467961.15,797497.25,777804.94,797497.25,468271.15,799747.24,Y
H2IL01042,"RUSH, BOBBY LEE",H,IL,1.0,DEM,INCUMBENT,CHICAGO,IL,60653.0,1/1/2015,10/19/2016,121080.0,539521.61,565280.0,569711.54,562080.0,539821.61,565580.0,Y
H6KY03124,"YARMUTH, JOHN A MR",H,KY,3.0,DEM,INCUMBENT,HARRODS CREEK,KY,40027.0,1/1/2015,10/19/2016,226562.98,411951.13,619129.04,612024.7,619129.04,412024.7,620938.79,Y
H8TN02069,"DUNCAN, JOHN J REP. JR.",H,TN,2.0,REP,INCUMBENT,KNOXVILLE,TN,37922.0,1/1/2015,10/19/2016,87195.0,401862.55,317426.1,425080.55,317426.1,404115.55,339483.6,Y
H6MD07160,"CUMMINGS, ELIJAH E",H,MD,7.0,DEM,INCUMBENT,WASHINGTON,DC,20515.0,1/1/2015,10/19/2016,426244.15,533008.78,1013044.15,964582.65,999444.15,554722.65,1035645.88,Y
H4MI12079,"DINGELL, DEBBIE",H,MI,12.0,DEM,INCUMBENT,DEARBORN,MI,48124.0,1/1/2015,10/19/2016,558339.7,749230.59,1098511.92,924983.76,1096011.92,750016.73,1099298.06,Y
H2TX26093,"BURGESS, MICHAEL C. DR.",H,TX,26.0,REP,INCUMBENT,DENTON,TX,762022334.0,1/1/2015,10/19/2016,344083.3,779636.18,1247079.68,981094.26,1239736.1,779700.68,1247387.54,Y
H2OH03067,"TURNER, MICHAEL R",H,OH,10.0,REP,INCUMBENT,DAYTON,OH,454296064.0,1/1/2015,10/19/2016,481259.41,969561.01,972628.27,1027249.18,970928.27,972599.18,978279.47,Y
H2NC07096,"ROUZER, DAVID CHESTON MR.",H,NC,7.0,REP,INCUMBENT,BENSON,NC,27504.0,1/1/2015,10/19/2016,503809.22,565040.09,1217144.74,666543.9,1212748.06,576044.22,1256846.13,Y
H0MA10082,"KEATING, WILLIAM RICHARD",H,MA,9.0,DEM,INCUMBENT,MONUMENT BEACH,MA,2553.0,1/1/2015,10/19/2016,576976.74,377962.38,1121054.4,399483.42,1120854.4,378283.42,1122592.81,Y
H0OH06189,"JOHNSON, BILL",H,OH,6.0,REP,INCUMBENT,MARIETTA,OH,45750.0,1/1/2015,10/19/2016,564625.98,1064131.85,1626827.85,1186850.62,1625027.85,1070860.28,1654560.78,Y
H8FL16022,"ROONEY, TOM MR.",H,FL,17.0,REP,INCUMBENT,OKEECHOBEE,FL,34973.0,1/1/2015,10/19/2016,108176.54,653821.25,560399.03,775655.47,561549.03,653821.25,568390.19,Y
H2FL14053,"FRANKEL, LOIS J.",H,FL,21.0,DEM,INCUMBENT,BOCA RATON,FL,33481.0,1/1/2015,10/19/2016,1043177.29,506462.37,1583377.91,844377.5,1579027.91,506780.87,1583848.89,Y
H0CT03072,"DELARUO, ROSA L",H,CT,3.0,DEM,INCUMBENT,NEW HAVEN,CT,6510.0,1/1/2015,10/19/2016,499403.92,538356.49,1033699.47,984256.49,1033699.47,539556.49,1035084.3,Y
H8ID02064,"SIMPSON, MICHAEL",H,ID,2.0,REP,INCUMBENT,BLACKFOOT,ID,832211667.0,1/1/2015,10/19/2016,263616.6,506848.06,974963.11,872698.06,972963.11,506848.06,974963.11,Y
H4LA05221,"ABRAHAM, RALPH LEE DR. JR.",H,LA,5.0,REP,INCUMBENT,ARCHIBALD,LA,712180271.0,1/1/2015,10/19/2016,272200.0,262567.99,557945.86,294167.99,552745.86,262567.99,576243.18,Y
H4IA03115,"YOUNG, DAVID",H,IA,3.0,REP,INCUMBENT,VAN METER,IA,50261.0,1/1/2015,10/19/2016,863836.32,1648502.58,2189722.19,1669914.45,2182922.19,1663114.45,2374075.83,Y
H0PA10078,"MARINO, THOMAS ANTHONY",H,PA,10.0,REP,INCUMBENT,COGAN STATION,PA,17728.0,1/1/2015,10/19/2016,486197.84,701454.12,1010652.71,878309.56,1005906.46,701744.31,1016402.61,Y
H2CT02112,"COURTNEY, JOSEPH D",H,CT,2.0,DEM,INCUMBENT,VERNON,CT,6066.0,1/1/2015,10/19/2016,428028.82,855841.44,1125294.88,927290.66,1126044.88,862240.66,1135595.45,Y
H8NY29032,"COLLINS, CHRISTOPHER C",H,NY,27.0,REP,INCUMBENT,CLARENCE,NY,140311576.0,1/1/2015,10/19/2016,355635.09,373122.48,1083815.09,507722.48,1081115.09,373122.48,1092436.58,Y
H4LA06153,"GRAVES, GARRET",H,LA,6.0,REP,INCUMBENT,BATON ROUGE,LA,70806.0,1/1/2015,10/19/2016,958318.41,1099655.6,1801285.99,1229107.81,1787935.99,1101772.81,1804303.2,Y
H2OR01133,"BONAMICI, SUZANNE MS.",H,OR,1.0,DEM,INCUMBENT,BEAVERTON,OR,97202.0,1/1/2015,10/19/2016,413444.62,525529.45,886403.15,744398.82,881016.26,526287.36,887161.06,Y
H6GA03113,"FERGUSON, ANDERSON DREW IV",H,GA,3.0,REP,OPEN,WEST POINT,GA,31833.0,1/1/2016,10/19/2016,720590.5,1031023.22,1188520.34,1060781.86,1185870.34,1031131.86,1188628.98,Y
H6PA08277,"FITZPATRICK, BRIAN",H,PA,8.0,REP,OPEN,LANGHORNE,PA,190470939.0,1/1/2016,10/19/2016,1210649.18,1404169.43,1815629.18,1424269.43,1797229.18,1405669.43,1817132.96,Y
H6VA05142,"GARRETT, THOMAS ALEXANDER MR. JR.",H,VA,5.0,REP,OPEN,SCOTTSVILLE,VA,24590.0,1/1/2016,10/19/2016,296890.0,438348.24,493489.09,441552.39,491539.09,439602.39,527632.44,Y
H2IA01055,"BLUM, RODNEY",H,IA,1.0,REP,INCUMBENT,DUBUQUE,IA,52003.0,1/1/2015,10/19/2016,1107613.29,1278679.16,1727598.36,1538023.25,1719223.36,1279648.25,2247137.68,Y
H8NJ04014,"SMITH, CHRISTOPHER H",H,NJ,4.0,REP,INCUMBENT,HAMILTON,NJ,86190184.0,1/1/2015,10/19/2016,328729.54,370145.34,531713.32,450310.34,528738.32,370145.34,532901.5,Y
H4NC06052,"WALKER, BRADLEY MARK",H,NC,6.0,REP,INCUMBENT,GREENSBORO,NC,27438.0,1/1/2015,10/19/2016,463694.75,522237.5,818713.63,601608.28,793653.63,539524.03,836000.16,Y
H6IL06117,"ROSKAM, PETER",H,IL,6.0,REP,INCUMBENT,WHEATON,IL,60187.0,1/1/2015,10/19/2016,1286219.99,2765597.03,2764536.43,2953712.95,2740881.43,2766307.95,2812220.58,Y
H6OH04082,"JORDAN, JAMES D.",H,OH,4.0,REP,INCUMBENT,URBANA,OH,43078.0,1/1/2015,10/19/2016,357678.32,344453.76,698074.37,380549.05,697024.37,344453.76,702401.64,Y
H4MI08135,"BISHOP, MIKE",H,MI,8.0,REP,INCUMBENT,ROCHESTER,MI,483071014.0,1/1/2015,10/19/2016,618050.92,1139447.38,1446985.15,1153647.38,1446885.15,1139447.38,1454331.83,Y
H8OH01043,"CHABOT, STEVE",H,OH,1.0,REP,INCUMBENT,CINCINNATI,OH,45211.0,1/1/2015,10/19/2016,501018.98,450198.51,923023.98,468698.51,918023.98,450198.51,923023.98,Y
